"Year";"State";"Type";"Length";"Expense";"Value"
2013;"Ohio";"Public In-State";"2-year";"Fees/Tuition";3480.0
2013;"Ohio";"Public In-State";"4-year";"Fees/Tuition";9301.0
2013;"Ohio";"Public In-State";"4-year";"Room/Board";10152.0
2013;"Ohio";"Public Out-of-State";"2-year";"Fees/Tuition";7421.0
2013;"Ohio";"Public Out-of-State";"4-year";"Fees/Tuition";21683.0
2013;"Ohio";"Public Out-of-State";"4-year";"Room/Board";10152.0
2013;"Oklahoma";"Private";"4-year";"Fees/Tuition";20572.0
2013;"Oklahoma";"Private";"4-year";"Room/Board";8658.0
2013;"Oklahoma";"Public In-State";"2-year";"Fees/Tuition";2904.0
2013;"Oklahoma";"Public In-State";"4-year";"Fees/Tuition";5882.0
2013;"Oklahoma";"Public In-State";"4-year";"Room/Board";7123.0
2013;"Oklahoma";"Public Out-of-State";"2-year";"Fees/Tuition";7101.0
2013;"Oklahoma";"Public Out-of-State";"4-year";"Fees/Tuition";16543.0
2013;"Oklahoma";"Public Out-of-State";"4-year";"Room/Board";7123.0
2013;"Oregon";"Private";"4-year";"Fees/Tuition";30195.0
2013;"Oregon";"Private";"4-year";"Room/Board";10460.0
2013;"Oregon";"Public In-State";"2-year";"Fees/Tuition";3752.0
2013;"Oregon";"Public In-State";"4-year";"Fees/Tuition";8294.0
2013;"Oregon";"Public In-State";"4-year";"Room/Board";10232.0
2013;"Oregon";"Public Out-of-State";"2-year";"Fees/Tuition";7689.0
2013;"Oregon";"Public Out-of-State";"4-year";"Fees/Tuition";25067.0
2013;"Oregon";"Public Out-of-State";"4-year";"Room/Board";10232.0
2013;"Pennsylvania";"Private";"4-year";"Fees/Tuition";32949.0
2013;"Pennsylvania";"Private";"4-year";"Room/Board";11459.0
2013;"Pennsylvania";"Public In-State";"2-year";"Fees/Tuition";4133.0
2013;"Pennsylvania";"Public In-State";"4-year";"Fees/Tuition";12184.0
2013;"Pennsylvania";"Public In-State";"4-year";"Room/Board";9453.0
2013;"Pennsylvania";"Public Out-of-State";"2-year";"Fees/Tuition";11009.0
2013;"Pennsylvania";"Public Out-of-State";"4-year";"Fees/Tuition";22891.0
2013;"Pennsylvania";"Public Out-of-State";"4-year";"Room/Board";9453.0
2013;"Rhode Island";"Private";"4-year";"Fees/Tuition";33940.0
2013;"Rhode Island";"Private";"4-year";"Room/Board";12174.0
2013;"Rhode Island";"Public In-State";"2-year";"Fees/Tuition";3950.0
2013;"Rhode Island";"Public In-State";"4-year";"Fees/Tuition";10817.0
2013;"Rhode Island";"Public In-State";"4-year";"Room/Board";10765.0
2013;"Rhode Island";"Public Out-of-State";"2-year";"Fees/Tuition";10582.0
2013;"Rhode Island";"Public Out-of-State";"4-year";"Fees/Tuition";26762.0
2013;"Rhode Island";"Public Out-of-State";"4-year";"Room/Board";10765.0
2013;"South Carolina";"Private";"4-year";"Fees/Tuition";20990.0
2013;"South Carolina";"Private";"4-year";"Room/Board";8175.0
2013;"South Carolina";"Public In-State";"2-year";"Fees/Tuition";3820.0
2013;"South Carolina";"Public In-State";"4-year";"Fees/Tuition";10691.0
2013;"South Carolina";"Public In-State";"4-year";"Room/Board";7964.0
2013;"South Carolina";"Public Out-of-State";"2-year";"Fees/Tuition";7910.0
2013;"South Carolina";"Public Out-of-State";"4-year";"Fees/Tuition";26042.0
2013;"South Carolina";"Public Out-of-State";"4-year";"Room/Board";7964.0
2013;"South Dakota";"Private";"4-year";"Fees/Tuition";18843.0
2013;"South Dakota";"Private";"4-year";"Room/Board";6953.0
2013;"South Dakota";"Public In-State";"2-year";"Fees/Tuition";5066.0
2013;"South Dakota";"Public In-State";"4-year";"Fees/Tuition";7413.0
2013;"South Dakota";"Public In-State";"4-year";"Room/Board";6445.0
2013;"South Dakota";"Public Out-of-State";"2-year";"Fees/Tuition";5261.0
2013;"South Dakota";"Public Out-of-State";"4-year";"Fees/Tuition";9654.0
2013;"South Dakota";"Public Out-of-State";"4-year";"Room/Board";6445.0
2013;"Tennessee";"Private";"4-year";"Fees/Tuition";22046.0
2013;"Tennessee";"Private";"4-year";"Room/Board";9090.0
2013;"Tennessee";"Public In-State";"2-year";"Fees/Tuition";3526.0
2013;"Tennessee";"Public In-State";"4-year";"Fees/Tuition";7472.0
2013;"Tennessee";"Public In-State";"4-year";"Room/Board";7944.0
2013;"Tennessee";"Public Out-of-State";"2-year";"Fees/Tuition";13682.0
2013;"Tennessee";"Public Out-of-State";"4-year";"Fees/Tuition";22412.0
2013;"Tennessee";"Public Out-of-State";"4-year";"Room/Board";7944.0
2013;"Texas";"Private";"4-year";"Fees/Tuition";25174.0
2013;"Texas";"Private";"4-year";"Room/Board";9686.0
2013;"Texas";"Public In-State";"2-year";"Fees/Tuition";1815.0
2013;"Texas";"Public In-State";"4-year";"Fees/Tuition";7402.0
2013;"Texas";"Public In-State";"4-year";"Room/Board";8538.0
2013;"Texas";"Public Out-of-State";"2-year";"Fees/Tuition";5075.0
2013;"Texas";"Public Out-of-State";"4-year";"Fees/Tuition";20044.0
2013;"Texas";"Public Out-of-State";"4-year";"Room/Board";8538.0
2013;"Utah";"Private";"4-year";"Fees/Tuition";7758.0
2013;"Utah";"Private";"4-year";"Room/Board";7572.0
2013;"Utah";"Public In-State";"2-year";"Fees/Tuition";3170.0
2013;"Utah";"Public In-State";"4-year";"Fees/Tuition";5375.0
2013;"Utah";"Public In-State";"4-year";"Room/Board";6701.0
2013;"Utah";"Public Out-of-State";"2-year";"Fees/Tuition";10012.0
2013;"Utah";"Public Out-of-State";"4-year";"Fees/Tuition";16631.0
2013;"Utah";"Public Out-of-State";"4-year";"Room/Board";6701.0
2013;"Vermont";"Private";"4-year";"Fees/Tuition";35130.0
2013;"Vermont";"Private";"4-year";"Room/Board";11125.0
2013;"Vermont";"Public In-State";"2-year";"Fees/Tuition";5452.0
2013;"Vermont";"Public In-State";"4-year";"Fees/Tuition";13524.0
2013;"Vermont";"Public In-State";"4-year";"Room/Board";9766.0
2013;"Vermont";"Public Out-of-State";"2-year";"Fees/Tuition";10804.0
2013;"Vermont";"Public Out-of-State";"4-year";"Fees/Tuition";32650.0
2013;"Vermont";"Public Out-of-State";"4-year";"Room/Board";9766.0
2013;"Virginia";"Private";"4-year";"Fees/Tuition";21524.0
2013;"Virginia";"Private";"4-year";"Room/Board";8959.0
2013;"Virginia";"Public In-State";"2-year";"Fees/Tuition";3910.0
2013;"Virginia";"Public In-State";"4-year";"Fees/Tuition";9866.0
2013;"Virginia";"Public In-State";"4-year";"Room/Board";8977.0
2013;"Virginia";"Public Out-of-State";"2-year";"Fees/Tuition";8592.0
2013;"Virginia";"Public Out-of-State";"4-year";"Fees/Tuition";27079.0
2013;"Virginia";"Public Out-of-State";"4-year";"Room/Board";8977.0
2013;"Washington";"Private";"4-year";"Fees/Tuition";30133.0
2013;"Washington";"Private";"4-year";"Room/Board";10161.0
2013;"Washington";"Public In-State";"2-year";"Fees/Tuition";3957.0
2013;"Washington";"Public In-State";"4-year";"Fees/Tuition";8856.0
2013;"Washington";"Public In-State";"4-year";"Room/Board";10069.0
2013;"Washington";"Public Out-of-State";"2-year";"Fees/Tuition";6983.0
2013;"Washington";"Public Out-of-State";"4-year";"Fees/Tuition";26314.0
2013;"Washington";"Public Out-of-State";"4-year";"Room/Board";10069.0
2013;"West Virginia";"Private";"4-year";"Fees/Tuition";10721.0
2013;"West Virginia";"Private";"4-year";"Room/Board";8399.0
2013;"West Virginia";"Public In-State";"2-year";"Fees/Tuition";3135.0
2013;"West Virginia";"Public In-State";"4-year";"Fees/Tuition";5599.0
2013;"West Virginia";"Public In-State";"4-year";"Room/Board";8527.0
2013;"West Virginia";"Public Out-of-State";"2-year";"Fees/Tuition";7798.0
2013;"West Virginia";"Public Out-of-State";"4-year";"Fees/Tuition";16582.0
2013;"West Virginia";"Public Out-of-State";"4-year";"Room/Board";8527.0
2013;"Wisconsin";"Private";"4-year";"Fees/Tuition";25500.0
